ad_id,reporting_start,reporting_end,capaign_id,b_capaign_id,age,gender,interest1,interest2,interest3,ipressions,clicks,spent,total_conversion,approved_conversion,gender2,CTR,CPC,CPA
734215,26-Aug-17,26-Aug-17,936,108655,30-34,M,15,19,17,13659,3,3.840000033,1,0,M,0.000219635,1.280000011,0
734243,26-Aug-17,26-Aug-17,936,108660,30-34,M,21,23,24,739,0,0,1,1,M,0,0,0
734266,26-Aug-17,26-Aug-17,936,108664,30-34,M,25,30,27,605,0,0,1,0,M,0,0,0
734272,26-Aug-17,26-Aug-17,936,108665,30-34,M,26,32,29,1030,0,0,1,0,M,0,0,0
734290,26-Aug-17,26-Aug-17,936,108668,30-34,M,29,32,35,5374,1,1.039999962,4,0,M,0.000186081,1.039999962,0
734313,26-Aug-17,26-Aug-17,936,108672,30-34,M,36,38,38,790,0,0,1,1,M,0,0,0
734314,27-Aug-17,27-Aug-17,936,108672,30-34,M,36,38,38,962,0,0,1,0,M,0,0,0
734352,27-Aug-17,27-Aug-17,936,108678,35-39,M,10,11,16,4423,1,1.460000038,1,1,M,0.000226091,1.460000038,1.460000038
734361,29-Aug-17,29-Aug-17,936,108680,35-39,M,16,19,19,12382,2,2.839999914,1,1,M,0.000161525,1.419999957,2.839999914
734381,29-Aug-17,29-Aug-17,936,108683,35-39,M,20,25,24,2938,1,1.350000024,1,1,M,0.000340368,1.350000024,1.350000024
734399,28-Aug-17,28-Aug-17,936,108686,35-39,M,23,24,27,239,0,0,1,0,M,0,0,0
734418,29-Aug-17,29-Aug-17,936,108689,35-39,M,26,27,28,591,0,0,1,0,M,0,0,0
734421,29-Aug-17,29-Aug-17,936,108690,35-39,M,27,29,32,10332,4,5.75,1,0,M,0.000387147,1.4375,0
734427,29-Aug-17,29-Aug-17,936,108691,35-39,M,28,29,31,8259,3,3.980000019,1,0,M,0.00036324,1.326666673,0
734433,29-Aug-17,29-Aug-17,936,108692,35-39,M,29,35,31,12158,3,4.449999928,1,0,M,0.000246751,1.483333309,0
734582,29-Aug-17,29-Aug-17,936,108716,40-44,M,29,33,33,7709,2,1.320000052,2,0,M,0.000259437,0.660000026,0
734605,28-Aug-17,28-Aug-17,936,108720,40-44,M,36,37,41,834,0,0,1,0,M,0,0,0
734660,28-Aug-17,28-Aug-17,936,108729,45-49,M,18,22,23,1299,0,0,2,0,M,0,0,0
734666,28-Aug-17,28-Aug-17,936,108730,45-49,M,19,24,20,371,0,0,1,0,M,0,0,0
734726,28-Aug-17,28-Aug-17,936,108740,45-49,M,29,30,35,10466,3,4.090000033,1,0,M,0.000286642,1.363333344,0
734737,27-Aug-17,27-Aug-17,936,108742,45-49,M,31,37,33,839,0,0,1,0,M,0,0,0
734785,28-Aug-17,28-Aug-17,936,108750,30-34,F,10,13,13,5576,1,1.529999971,1,1,F,0.00017934,1.529999971,1.529999971
734794,28-Aug-17,28-Aug-17,936,108752,30-34,F,16,19,17,4010,0,0,1,0,F,0,0,0
734796,28-Aug-17,28-Aug-17,936,108752,30-34,F,16,22,17,39337,7,10.03000009,1,1,F,0.00017795,1.432857156,10.03000009
734800,28-Aug-17,28-Aug-17,936,108753,30-34,F,18,20,20,1635,0,0,1,0,F,0,0,0
734803,28-Aug-17,28-Aug-17,936,108753,30-34,F,18,19,21,1631,0,0,1,0,F,0,0,0
734852,28-Aug-17,28-Aug-17,936,108761,30-34,F,26,30,29,13479,3,4.25,1,0,F,0.000222568,1.416666667,0
734854,19-Aug-17,19-Aug-17,936,108762,30-34,F,27,33,32,57022,13,20.29000032,3,3,F,0.000227982,1.560769255,6.76333344
734856,19-Aug-17,19-Aug-17,936,108762,30-34,F,27,28,32,5453,1,1.389999986,1,1,F,0.000183385,1.389999986,1.389999986
734866,20-Aug-17,20-Aug-17,936,108764,30-34,F,29,32,31,11803,3,4.440000057,1,0,F,0.000254173,1.480000019,0
734881,20-Aug-17,20-Aug-17,936,108766,30-34,F,31,32,34,4259,1,1.570000052,1,1,F,0.000234797,1.570000052,1.570000052
734901,20-Aug-17,20-Aug-17,936,108770,30-34,F,64,70,68,1554,0,0,1,0,F,0,0,0
734903,20-Aug-17,20-Aug-17,936,108770,30-34,F,64,69,67,5323,1,1.289999962,1,1,F,0.000187864,1.289999962,1.289999962
734925,20-Aug-17,20-Aug-17,936,108774,35-39,F,10,11,12,5024,1,1.409999967,1,1,F,0.000199045,1.409999967,1.409999967
734939,20-Aug-17,20-Aug-17,936,108776,35-39,F,16,19,22,104648,24,33.33000004,4,2,F,0.00022934,1.388750002,16.66500002
734968,20-Aug-17,20-Aug-17,936,108781,35-39,F,22,25,27,8504,3,3.340000093,1,1,F,0.000352775,1.113333364,3.340000093
734999,20-Aug-17,20-Aug-17,936,108786,35-39,F,27,32,32,20277,6,8.050000072,1,0,F,0.000295902,1.341666679,0
735014,19-Aug-17,19-Aug-17,936,108788,35-39,F,29,34,30,12403,4,5.210000038,1,1,F,0.000322503,1.30250001,5.210000038
735032,19-Aug-17,19-Aug-17,936,108791,35-39,F,32,33,34,498,0,0,1,1,F,0,0,0
735033,18-Aug-17,18-Aug-17,936,108792,35-39,F,36,40,40,652,0,0,0,0,F,0,0,0
735043,18-Aug-17,18-Aug-17,936,108793,35-39,F,63,65,69,1357,0,0,1,1,F,0,0,0
735048,18-Aug-17,18-Aug-17,936,108794,35-39,F,64,65,68,1393,0,0,1,0,F,0,0,0
735065,19-Aug-17,19-Aug-17,936,108797,40-44,F,7,10,12,648,0,0,1,0,F,0,0,0
735109,19-Aug-17,19-Aug-17,936,108804,40-44,F,21,26,25,708,0,0,1,1,F,0,0,0
735140,19-Aug-17,19-Aug-17,936,108809,40-44,F,26,27,31,6907,2,2.349999964,1,0,F,0.000289561,1.174999982,0
735143,19-Aug-17,19-Aug-17,936,108810,40-44,F,27,28,30,39035,13,19.32999957,1,0,F,0.000333034,1.486923044,0
735151,19-Aug-17,19-Aug-17,936,108811,40-44,F,28,30,31,926,0,0,1,0,F,0,0,0
735184,19-Aug-17,19-Aug-17,936,108817,40-44,F,63,66,67,4412,1,1.450000048,1,0,F,0.000226655,1.450000048,0
735189,21-Aug-17,21-Aug-17,936,108818,40-44,F,64,65,66,9965,3,4.050000072,1,0,F,0.000301054,1.350000024,0
735213,21-Aug-17,21-Aug-17,936,108822,45-49,F,10,16,11,73634,23,32.97999978,1,0,F,0.000312356,1.433913034,0
735220,18-Aug-17,18-Aug-17,936,108823,45-49,F,15,17,17,69708,20,31.28999949,1,0,F,0.000286911,1.564499975,0
735242,18-Aug-17,18-Aug-17,936,108826,45-49,F,19,25,21,530,0,0,1,0,F,0,0,0
735247,18-Aug-17,18-Aug-17,936,108827,45-49,F,20,24,25,14257,6,8.789999962,1,0,F,0.000420846,1.464999994,0
735289,18-Aug-17,18-Aug-17,936,108834,45-49,F,27,30,30,20362,5,9.119999886,1,1,F,0.000245555,1.823999977,9.119999886
735290,18-Aug-17,18-Aug-17,936,108834,45-49,F,27,29,33,12215,4,6.26000011,1,0,F,0.000327466,1.565000028,0
735298,18-Aug-17,18-Aug-17,936,108836,45-49,F,29,31,32,85412,28,38.63999999,2,1,F,0.000327823,1.38,38.63999999
736869,18-Aug-17,18-Aug-17,936,109448,30-34,M,2,6,8,2338,1,0.239999995,1,0,M,0.000427716,0.239999995,0
736890,18-Aug-17,18-Aug-17,936,109451,30-34,M,15,16,20,2522,0,0,1,0,M,0,0,0
736893,18-Aug-17,18-Aug-17,936,109452,30-34,M,16,17,17,3587,0,0,1,0,M,0,0,0
736977,18-Aug-17,18-Aug-17,936,109470,30-34,M,27,30,28,1273,0,0,1,0,M,0,0,0
736988,21-Aug-17,21-Aug-17,936,109472,30-34,M,28,29,29,3891,1,1.090000033,1,0,M,0.000257003,1.090000033,0
736995,21-Aug-17,21-Aug-17,936,109473,30-34,M,29,34,34,1888,0,0,1,0,M,0,0,0
736997,21-Aug-17,21-Aug-17,936,109473,30-34,M,29,32,33,1895,0,0,1,0,M,0,0,0
737097,21-Aug-17,21-Aug-17,936,109498,35-39,M,7,10,11,715,0,0,1,0,M,0,0,0
737130,21-Aug-17,21-Aug-17,936,109507,35-39,M,16,19,18,11199,2,2.680000067,1,0,M,0.000178587,1.340000034,0
737320,18-Aug-17,18-Aug-17,936,109553,35-39,M,63,64,66,5676,2,3.00999999,1,0,M,0.000352361,1.504999995,0
737375,21-Aug-17,21-Aug-17,936,109565,40-44,M,10,11,11,1415,0,0,1,0,M,0,0,0
737524,21-Aug-17,21-Aug-17,936,109601,40-44,M,30,34,33,2148,1,1.580000043,1,1,M,0.000465549,1.580000043,1.580000043
737644,21-Aug-17,21-Aug-17,936,109629,45-49,M,16,22,17,45401,10,14.06000042,1,0,M,0.000220259,1.406000042,0
737657,18-Aug-17,18-Aug-17,936,109633,45-49,M,18,23,20,7478,2,2.900000095,1,1,M,0.000267451,1.450000048,2.900000095
737658,18-Aug-17,18-Aug-17,936,109633,45-49,M,18,19,24,4919,1,1.590000033,1,0,M,0.000203293,1.590000033,0
737674,20-Aug-17,20-Aug-17,936,109637,45-49,M,20,21,24,533,0,0,1,1,M,0,0,0
737766,20-Aug-17,20-Aug-17,936,109659,45-49,M,29,33,33,1447,0,0,1,1,M,0,0,0
737896,20-Aug-17,20-Aug-17,936,109689,30-34,F,16,21,22,17553,3,4.590000153,1,0,F,0.000170911,1.530000051,0
737931,20-Aug-17,20-Aug-17,936,109698,30-34,F,20,26,24,3343,1,0.540000021,1,0,F,0.000299133,0.540000021,0
737961,20-Aug-17,20-Aug-17,936,109706,30-34,F,23,29,28,523,0,0,1,0,F,0,0,0
737995,20-Aug-17,20-Aug-17,936,109714,30-34,F,26,27,31,1873,0,0,1,0,F,0,0,0
738006,20-Aug-17,20-Aug-17,936,109717,30-34,F,27,29,32,34740,7,13.41000009,1,1,F,0.000201497,1.915714299,13.41000009
738067,20-Aug-17,20-Aug-17,936,109731,30-34,F,32,37,36,658,0,0,1,0,F,0,0,0
738098,20-Aug-17,20-Aug-17,936,109738,30-34,F,64,70,68,1539,0,0,1,0,F,0,0,0
738307,20-Aug-17,20-Aug-17,936,109788,35-39,F,31,36,36,3010,1,0.860000014,1,1,F,0.000332226,0.860000014,0.860000014
738389,19-Aug-17,19-Aug-17,936,109808,40-44,F,10,16,12,27081,9,10.77000046,1,1,F,0.000332336,1.196666718,10.77000046
738408,19-Aug-17,19-Aug-17,936,109813,40-44,F,16,22,22,20233,4,5.590000153,3,0,F,0.000197697,1.397500038,0
738413,19-Aug-17,19-Aug-17,936,109813,40-44,F,16,17,19,147159,36,58.16000044,3,1,F,0.000244633,1.615555568,58.16000044
738423,19-Aug-17,19-Aug-17,936,109816,40-44,F,18,20,24,21664,7,10.61999977,1,1,F,0.000323117,1.517142824,10.61999977
738436,19-Aug-17,19-Aug-17,936,109820,40-44,F,19,21,20,9112,4,5.460000038,1,1,F,0.000438982,1.36500001,5.460000038
738463,20-Aug-17,20-Aug-17,936,109826,40-44,F,21,23,24,542,0,0,1,0,F,0,0,0
738528,19-Aug-17,19-Aug-17,936,109839,40-44,F,30,34,33,402,0,0,1,1,F,0,0,0
738560,19-Aug-17,19-Aug-17,936,109844,40-44,F,64,70,66,1338,0,0,1,0,F,0,0,0
738582,19-Aug-17,19-Aug-17,936,109848,45-49,F,10,16,12,46150,15,20.17999983,1,1,F,0.000325027,1.345333322,20.17999983
738592,20-Aug-17,20-Aug-17,936,109850,45-49,F,16,22,20,493821,116,176.3799977,4,1,F,0.000234903,1.520517222,176.3799977
738593,20-Aug-17,20-Aug-17,936,109850,45-49,F,16,17,21,92011,27,34.39000046,2,1,F,0.000293443,1.273703721,34.39000046
738598,21-Aug-17,21-Aug-17,936,109851,45-49,F,18,23,24,12956,4,5.49000001,1,1,F,0.000308737,1.372500003,5.49000001
738606,21-Aug-17,21-Aug-17,936,109852,45-49,F,19,20,23,529,0,0,1,0,F,0,0,0
738637,21-Aug-17,21-Aug-17,936,109857,45-49,F,24,26,30,944,1,1.419999957,1,0,F,0.001059322,1.419999957,0
738648,18-Aug-17,18-Aug-17,936,109859,45-49,F,26,30,27,111090,38,51.97000027,5,1,F,0.000342065,1.367631586,51.97000027
747212,18-Aug-17,18-Aug-17,936,110836,30-34,M,10,16,14,7208,2,3.190000057,1,0,M,0.000277469,1.595000029,0
747213,18-Aug-17,18-Aug-17,936,110836,30-34,M,10,12,11,1746,0,0,1,0,M,0,0,0
747220,18-Aug-17,18-Aug-17,936,110837,30-34,M,15,17,16,2474,0,0,2,2,M,0,0,0
747222,18-Aug-17,18-Aug-17,936,110838,30-34,M,16,22,20,12489,2,1.960000038,1,0,M,0.000160141,0.980000019,0
747223,18-Aug-17,18-Aug-17,936,110838,30-34,M,16,18,18,8032,1,0.600000024,2,0,M,0.000124502,0.600000024,0
747248,21-Aug-17,21-Aug-17,936,110842,30-34,M,21,24,24,472,0,0,1,1,M,0,0,0
747332,21-Aug-17,21-Aug-17,936,110856,30-34,M,64,68,65,792,0,0,1,1,M,0,0,0
747362,21-Aug-17,21-Aug-17,936,110861,35-39,M,15,16,18,4607,1,1.149999976,1,1,M,0.000217061,1.149999976,1.149999976
747369,21-Aug-17,21-Aug-17,936,110862,35-39,M,16,17,21,13355,2,3.180000067,1,1,M,0.000149757,1.590000034,3.180000067
747370,20-Aug-17,20-Aug-17,936,110862,35-39,M,16,17,19,2936,0,0,1,0,M,0,0,0
747401,21-Aug-17,21-Aug-17,936,110867,35-39,M,22,25,25,2793,1,0.980000019,1,1,M,0.000358038,0.980000019,0.980000019
747435,21-Aug-17,21-Aug-17,936,110873,35-39,M,28,29,30,1032,0,0,1,0,M,0,0,0
747439,21-Aug-17,21-Aug-17,936,110874,35-39,M,29,35,33,1662,0,0,1,1,M,0,0,0
747489,21-Aug-17,21-Aug-17,936,110882,40-44,M,2,7,6,4016,2,1.480000049,1,1,M,0.000498008,0.740000025,1.480000049
747514,21-Aug-17,21-Aug-17,936,110886,40-44,M,16,20,17,14843,3,2.939999938,1,1,M,0.000202115,0.979999979,2.939999938
747645,21-Aug-17,21-Aug-17,936,110908,45-49,M,10,14,13,9674,3,4.600000024,1,1,M,0.00031011,1.533333341,4.600000024
747659,25-Aug-17,25-Aug-17,936,110910,45-49,M,16,21,17,12186,2,2.669999957,1,0,M,0.000164123,1.334999979,0
747675,25-Aug-17,25-Aug-17,936,110913,45-49,M,20,22,21,673,0,0,1,0,M,0,0,0
747678,25-Aug-17,25-Aug-17,936,110914,45-49,M,21,27,23,370,0,0,1,1,M,0,0,0
747712,24-Aug-17,24-Aug-17,936,110919,45-49,M,26,30,29,450,0,0,1,1,M,0,0,0
747790,24-Aug-17,24-Aug-17,936,110932,30-34,F,10,12,14,2077,0,0,1,1,F,0,0,0
747791,25-Aug-17,25-Aug-17,936,110932,30-34,F,10,14,13,31393,8,10.96000051,1,1,F,0.000254834,1.370000064,10.96000051
747795,25-Aug-17,25-Aug-17,936,110933,30-34,F,15,21,18,8410,2,2.359999895,1,1,F,0.000237812,1.179999948,2.359999895
747798,25-Aug-17,25-Aug-17,936,110934,30-34,F,16,21,20,25884,5,7.350000143,1,0,F,0.00019317,1.470000029,0
747824,25-Aug-17,25-Aug-17,936,110938,30-34,F,21,24,23,608,0,0,1,1,F,0,0,0
747828,25-Aug-17,25-Aug-17,936,110939,30-34,F,22,24,24,28488,10,9.340000033,1,0,F,0.000351025,0.934000003,0
747852,24-Aug-17,24-Aug-17,936,110943,30-34,F,26,32,32,10126,3,4.619999886,1,0,F,0.000296267,1.539999962,0
747859,24-Aug-17,24-Aug-17,936,110944,30-34,F,27,32,33,22572,5,8.5,1,0,F,0.000221513,1.7,0
747863,24-Aug-17,24-Aug-17,936,110944,30-34,F,27,30,33,1955,0,0,1,1,F,0,0,0
747879,24-Aug-17,24-Aug-17,936,110947,30-34,F,30,36,31,493,0,0,1,0,F,0,0,0
747903,24-Aug-17,24-Aug-17,936,110951,30-34,F,63,69,69,1491,0,0,1,1,F,0,0,0
747911,24-Aug-17,24-Aug-17,936,110952,30-34,F,64,66,66,1495,0,0,1,1,F,0,0,0
747968,24-Aug-17,24-Aug-17,936,110962,35-39,F,21,27,24,512,0,0,0,0,F,0,0,0
747991,24-Aug-17,24-Aug-17,936,110966,35-39,F,25,31,27,4868,2,2.420000076,1,0,F,0.000410846,1.210000038,0
748000,24-Aug-17,24-Aug-17,936,110967,35-39,F,26,27,32,6585,2,2.950000048,1,0,F,0.000303721,1.475000024,0
748007,24-Aug-17,24-Aug-17,936,110968,35-39,F,27,29,28,10164,2,3.720000029,1,1,F,0.000196773,1.860000015,3.720000029
748014,24-Aug-17,24-Aug-17,936,110970,35-39,F,29,31,35,11182,4,4.449999809,1,0,F,0.000357718,1.112499952,0
748045,25-Aug-17,25-Aug-17,936,110975,35-39,F,63,69,64,1238,0,0,1,0,F,0,0,0
748086,25-Aug-17,25-Aug-17,936,110982,40-44,F,16,19,18,34127,8,13.07000017,1,0,F,0.000234418,1.633750021,0
748087,26-Aug-17,26-Aug-17,936,110982,40-44,F,16,22,19,29466,7,10.84999967,2,0,F,0.000237562,1.549999953,0
748089,26-Aug-17,26-Aug-17,936,110982,40-44,F,16,18,21,38759,9,10.84999967,1,0,F,0.000232204,1.205555519,0
748091,26-Aug-17,26-Aug-17,936,110982,40-44,F,16,17,19,41720,10,12.06000006,1,1,F,0.000239693,1.206000006,12.06000006
748225,26-Aug-17,26-Aug-17,936,111005,45-49,F,15,16,17,18602,5,8.860000134,1,0,F,0.000268788,1.772000027,0
748230,26-Aug-17,26-Aug-17,936,111006,45-49,F,16,17,20,83929,21,27.72999954,4,1,F,0.000250211,1.320476169,27.72999954
748231,27-Aug-17,27-Aug-17,936,111006,45-49,F,16,18,21,25194,6,7.349999905,1,0,F,0.000238152,1.224999984,0
748233,27-Aug-17,27-Aug-17,936,111006,45-49,F,16,22,18,78627,19,26.53000045,1,0,F,0.000241647,1.396315813,0
748235,26-Aug-17,26-Aug-17,936,111006,45-49,F,16,18,19,102695,25,39.42999983,3,0,F,0.000243439,1.577199993,0
748294,26-Aug-17,26-Aug-17,936,111016,45-49,F,27,32,31,82827,24,47.93000031,3,0,F,0.000289761,1.997083346,0
748295,26-Aug-17,26-Aug-17,936,111016,45-49,F,27,31,32,9240,3,6.039999962,1,0,F,0.000324675,2.013333321,0
748303,25-Aug-17,25-Aug-17,936,111018,45-49,F,29,32,33,7706,2,2.369999886,1,0,F,0.000259538,1.184999943,0
748314,25-Aug-17,25-Aug-17,936,111020,45-49,F,31,34,32,7821,4,6.340000153,1,1,F,0.000511444,1.585000038,6.340000153
748341,25-Aug-17,25-Aug-17,936,111024,45-49,F,64,67,68,1363,0,0,1,1,F,0,0,0
776318,25-Aug-17,25-Aug-17,936,115484,45-49,F,15,16,19,3569,0,0,1,1,F,0,0,0
776322,25-Aug-17,25-Aug-17,936,115485,45-49,F,16,21,20,119063,34,53.21999949,1,0,F,0.000285563,1.565294103,0
776323,26-Aug-17,26-Aug-17,936,115485,45-49,F,16,17,18,99078,23,35.79999948,2,0,F,0.00023214,1.556521717,0
776325,26-Aug-17,26-Aug-17,936,115485,45-49,F,16,19,20,452398,114,180.2200012,1,0,F,0.000251991,1.580877204,0
776334,26-Aug-17,26-Aug-17,936,115487,45-49,F,10,12,16,191223,48,76.41000056,1,0,F,0.000251016,1.591875012,0
776336,26-Aug-17,26-Aug-17,936,115487,45-49,F,10,15,14,22216,6,9.549999952,1,0,F,0.000270076,1.591666659,0
776338,23-Aug-17,23-Aug-17,936,115487,45-49,F,10,12,11,48291,11,18.01999998,1,0,F,0.000227786,1.638181816,0
776353,23-Aug-17,23-Aug-17,936,115490,40-44,F,63,66,67,27559,8,13.37,1,0,F,0.000290286,1.67125,0
776373,21-Aug-17,21-Aug-17,936,115493,45-49,F,25,27,27,10194,4,4.590000033,2,1,F,0.000392388,1.147500008,4.590000033
776383,21-Aug-17,21-Aug-17,936,115495,45-49,F,23,27,29,1168,0,0,1,1,F,0,0,0
776405,21-Aug-17,21-Aug-17,936,115498,45-49,F,21,25,22,40126,16,25.86000001,1,0,F,0.000398744,1.616250001,0
776416,21-Aug-17,21-Aug-17,936,115500,45-49,F,19,22,20,3659,1,0.49000001,1,1,F,0.000273299,0.49000001,0.49000001
776430,22-Aug-17,22-Aug-17,936,115503,30-34,M,10,14,16,3200,0,0,1,0,M,0,0,0
776464,22-Aug-17,22-Aug-17,936,115508,45-49,F,29,30,31,7550,1,1.679999948,1,1,F,0.00013245,1.679999948,1.679999948
